#,Team,Year,P,W,D,L,Home,Away,GF-BF,For,GA-BA,Agn,%,Pts,MR
14,Western Bulldogs,2004,22,5,,17,2-0-9,3-0-8,280.277 (50%),1957,359.305 (54%),2459,79.6,20,
15,Hawthorn,2004,22,4,,18,3-0-8,1-0-10,246.192 (56%),1668,343.317 (52%),2375,70.2,16,
16,Richmond,2004,22,4,,18,3-0-8,1-0-10,246.217 (53%),1693,362.273 (57%),2445,69.2,16,
,,,,,,,,,,,,,,,
#  ,Team  ,Year,P  ,W  ,D  ,L  ,Home  ,Away  ,GF-BF  ,For  ,GA-BA  ,Agn  ,%  ,Pts  ,
1,Port Adelaide,2003,22,18,,4,10-0-1,8-0-3,326.273 (54%),2229,253.234 (52%),1752,127.2,72,
2,Collingwood,2003,22,15,,7,7-0-4,8-0-3,329.285 (54%),2259,267.256 (51%),1858,121.6,60,
3,Brisbane Lions,2003,22,14,1,7,8-0-3,2004-06-01 00:00:00,335.285 (54%),2295,271.256 (51%),1882,121.9,58,
4,Sydney,2003,22,14,,8,8-0-3,6-0-5,320.222 (59%),2142,270.242 (53%),1862,115,56,
5,Fremantle,2003,22,14,,8,10-0-1,4-0-7,311.277 (53%),2143,305.248 (55%),2078,103.1,56,
6,Adelaide,2003,22,13,,9,8-0-3,5-0-6,310.254 (55%),2114,255.224 (53%),1754,120.5,52,
7,West Coast,2003,22,12,2,8,2002-08-01 00:00:00,2006-04-01 00:00:00,341.280 (55%),2326,289.248 (54%),1982,117.4,52,
8,Essendon,2003,22,13,,9,8-0-3,5-0-6,322.258 (56%),2190,286.244 (54%),1960,111.7,52,
9,Hawthorn,2003,22,12,,10,7-0-4,5-0-6,296.235 (56%),2011,294.235 (56%),1999,100.6,48,
10,Kangaroos,2003,22,11,1,10,2005-05-01 00:00:00,6-0-5,319.271 (54%),2185,328.255 (56%),2223,98.3,46,
11,St Kilda,2003,22,11,,11,8-0-3,3-0-8,307.253 (55%),2095,321.261 (55%),2187,95.8,44,
12,Geelong,2003,22,7,1,14,2005-05-01 00:00:00,2-0-9,262.247 (51%),1819,301.219 (58%),2025,89.8,30,
13,Richmond,2003,22,7,,15,4-0-7,3-0-8,270.226 (54%),1846,302.266 (53%),2078,88.8,28,
14,Melbourne,2003,22,5,,17,4-0-7,1-0-10,280.219 (56%),1899,349.250 (58%),2344,81,20,
15,Carlton,2003,22,4,,18,1-0-10,3-0-8,259.230 (53%),1784,394.310 (56%),2674,66.7,16,
16,Western Bulldogs,2003,22,3,1,18,2-0-9,2009-01-01 00:00:00,295.244 (55%),2014,397.311 (56%),2693,74.8,14,
,,,,,,,,,,,,,,,
#  ,Team  ,Year,P  ,W  ,D  ,L  ,Home  ,Away  ,GF-BF  ,For  ,GA-BA  ,Agn  ,%  ,Pts  ,
1,Port Adelaide,2002,22,18,,4,10-0-1,8-0-3,350.260 (57%),2360,259.229 (53%),1783,132.4,72,
2,Brisbane Lions,2002,22,17,,5,11-0-0,6-0-5,368.312 (54%),2520,268.235 (53%),1843,136.7,68,
3,Adelaide,2002,22,15,,7,9-0-2,6-0-5,339.274 (55%),2308,295.237 (55%),2007,115,60,
4,Collingwood,2002,22,13,,9,9-0-2,4-0-7,303.263 (54%),2081,273.259 (51%),1897,109.7,52,
5,Essendon,2002,22,12,1,9,8-0-3,2006-04-01 00:00:00,278.271 (51%),1939,265.257 (51%),1847,105,50,
6,Melbourne,2002,22,12,,10,7-0-4,5-0-6,329.269 (55%),2243,327.283 (54%),2245,99.9,48,
7,Kangaroos,2002,22,12,,10,7-0-4,5-0-6,327.279 (54%),2241,338.241 (58%),2269,98.8,48,
8,West Coast,2002,22,11,,11,9-0-2,2-0-9,327.246 (57%),2208,328.286 (53%),2254,98,44,
9,Geelong,2002,22,11,,11,5-0-6,6-0-5,283.235 (55%),1933,298.241 (55%),2029,95.3,44,
10,Hawthorn,2002,22,11,,11,7-0-4,4-0-7,286.222 (56%),1938,305.277 (52%),2107,92,44,
11,Sydney,2002,22,9,1,12,6-0-5,2007-03-01 00:00:00,310.263 (54%),2123,290.236 (55%),1976,107.4,38,
12,Western Bulldogs,2002,22,9,1,12,2005-05-01 00:00:00,4-0-7,342.283 (55%),2335,329.272 (55%),2246,104,38,
13,Fremantle,2002,22,9,,13,9-0-2,0-0-11,274.256 (52%),1900,319.237 (57%),2151,88.3,36,
14,Richmond,2002,22,7,,15,6-0-5,1-0-10,257.259 (50%),1801,317.270 (54%),2172,82.9,28,
15,St Kilda,2002,22,5,1,16,2006-04-01 00:00:00,1-0-10,265.195 (58%),1785,334.267 (56%),2271,78.6,22,
16,Carlton,2002,22,3,,19,2-0-9,1-0-10,244.218 (53%),1682,337.278 (55%),2300,73.1,12,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
#  ,Team  ,Year,P  ,W  ,D  ,L  ,Home  ,Away  ,GF-BF  ,For  ,GA-BA  ,Agn  ,%  ,Pts  ,
1,Essendon,2001,22,17,,5,9-0-2,8-0-3,379.274 (58%),2548,278.227 (55%),1895,134.5,68,
2,Brisbane Lions,2001,22,17,,5,10-0-1,7-0-4,368.330 (53%),2538,291.243 (54%),1989,127.6,68,
3,Port Adelaide,2001,22,16,,6,9-0-2,7-0-4,363.295 (55%),2473,279.244 (53%),1918,128.9,64,
4,Richmond,2001,22,15,,7,7-0-4,8-0-3,312.254 (55%),2126,285.263 (52%),1973,107.8,60,
5,Carlton,2001,22,14,,8,8-0-3,6-0-5,338.283 (54%),2311,261.231 (53%),1797,128.6,56,
6,Hawthorn,2001,22,13,,9,6-0-5,7-0-4,319.235 (58%),2149,292.289 (50%),2041,105.3,52,
7,Sydney,2001,22,12,,10,7-0-4,5-0-6,307.279 (52%),2121,259.279 (48%),1833,115.7,48,
8,Adelaide,2001,22,12,,10,6-0-5,6-0-5,298.297 (50%),2085,300.226 (57%),2026,102.9,48,
9,Collingwood,2001,22,11,,11,5-0-6,6-0-5,328.264 (55%),2232,306.252 (55%),2088,106.9,44,
10,Western Bulldogs,2001,22,10,,12,3-0-8,7-0-4,337.283 (54%),2305,364.274 (57%),2458,93.8,40,
11,Melbourne,2001,22,10,,12,3-0-8,7-0-4,312.264 (54%),2136,347.282 (55%),2364,90.4,40,
12,Geelong,2001,22,9,,13,5-0-6,4-0-7,279.252 (53%),1926,304.230 (57%),2054,93.8,36,
13,Kangaroos,2001,22,9,,13,4-0-7,5-0-6,319.247 (56%),2161,352.259 (58%),2371,91.1,36,
14,West Coast,2001,22,5,,17,3-0-8,2-0-9,248.220 (53%),1708,380.310 (55%),2590,65.9,20,
15,St Kilda,2001,22,4,,18,1-0-10,3-0-8,284.213 (57%),1917,389.308 (56%),2642,72.6,16,
16,Fremantle,2001,22,2,,20,1-0-10,1-0-10,258.246 (51%),1794,362.319 (53%),2491,72,8,
,,,,,,,,,,,,,,,
#  ,Team  ,Year,P  ,W  ,D  ,L  ,Home  ,Away  ,GF-BF  ,For  ,GA-BA  ,Agn  ,%  ,Pts  ,
1,Essendon,2000,22,21,,1,10-0-1,11-0-0,415.326 (56%),2816,259.216 (55%),1770,159.1,84,
2,Carlton,,22,16,,6,9-0-2,7-0-4,396.291 (58%),2667,291.233 (56%),1979,134.8,64,
3,Melbourne,,22,14,,8,9-0-2,5-0-6,378.289 (57%),2557,314.275 (53%),2159,118.4,56,
4,Kangaroos,,22,14,,8,8-0-3,6-0-5,359.293 (55%),2447,338.276 (55%),2304,106.2,56,
5,Geelong,,22,12,1,9,7-0-4,2005-05-01 00:00:00,329.260 (56%),2234,337.284 (54%),2306,96.9,50,
6,Brisbane Lions,,22,12,,10,7-0-4,5-0-6,384.298 (56%),2602,323.284 (53%),2222,117.1,48,
7,Western Bulldogs,,22,12,,10,7-0-4,5-0-6,347.239 (59%),2321,330.261 (56%),2241,103.6,48,
8,Hawthorn,,22,12,,10,6-0-5,6-0-5,327.236 (58%),2198,328.283 (54%),2251,97.6,48,
9,Richmond,,22,11,,11,5-0-6,6-0-5,303.250 (55%),2068,323.283 (53%),2221,93.1,44,
10,Sydney,,22,10,,12,6-0-5,4-0-7,333.256 (57%),2254,328.251 (57%),2219,101.6,40,
11,Adelaide,,22,9,,13,6-0-5,3-0-8,323.317 (50%),2255,347.265 (57%),2347,96.1,36,
12,Fremantle,,22,8,,14,5-0-6,3-0-8,276.230 (55%),1886,387.296 (57%),2618,72,32,
13,West Coast,,22,7,1,14,5-0-6,2008-02-01 00:00:00,326.260 (56%),2216,351.293 (55%),2399,92.4,30,
14,Port Adelaide,,22,7,1,14,2005-05-01 00:00:00,2-0-9,273.290 (48%),1928,339.261 (57%),2295,84,30,
15,Collingwood,,22,7,,15,3-0-8,4-0-7,301.283 (52%),2089,356.295 (55%),2431,85.9,28,
16,St Kilda,,22,2,1,19,2008-02-01 00:00:00,0-0-11,272.223 (55%),1855,391.285 (58%),2631,70.5,10,
Totals,,,"Games: 176, Goals: 5342, Behinds: 4341, Accuracy: 55.17%, Total points: 36393, Average score: 103",,,,,,,,,,,,
