League,WIM,WIM_TB,Noll_Scully,WinPct_SD,HHI
WIM Raw Data - Prem League,0.41611577080733403,0.7099124897254994,1.9323753421922822,0.15673633708423781,0.05873043065238688
WIM Raw Data - Eredivisie,0.4059453802072898,0.6801033572630943,1.8515263965527926,0.15990606464257778,0.06450662245476937
WIM Raw Data - Bundesliga,0.3857275438824949,0.6316078498326606,1.7539033174499592,0.15039596870971025,0.06486774316546526
WIM Raw Data - La Liga,0.382973890935572,0.6549581215395476,1.9196977362285155,0.15570804745624878,0.05891146752523537
WIM Raw Data - A-League,0.3410769101000422,0.42692846727199796,1.4263320550902294,0.13825032646994118,0.10357696468256786
WIM Raw Data - Ligue 1,0.32764457391082596,0.5699841088519755,1.6235549419999982,0.1332299865040291,0.057440946360851085
WIM Raw Data - EFL Championship,0.26116187994001183,0.4884571973982781,1.4364848761683442,0.10589907006459293,0.04530547161305637
WIM Raw Data - MLS,0.23802348164232293,0.40276776039104734,1.1584150090488052,0.10198355467192247,0.05789237483911652
WIM Raw Data - NFL,0.23536092883671195,0.4599114877842381,1.5500828154550161,0.19266120241601126,0.03592990854963433
WIM Raw Data - NRL,0.2114517695288086,0.3296875650880052,1.5404433552707522,0.15806402568533673,0.06912157919517699
WIM Raw Data - AFL,0.19349426026559038,0.29050442964358214,1.7582532329112448,0.18788544112944658,0.10348398406513384
WIM Raw Data - NHL,0.1442308665363443,0.27859836331729376,1.6998046977758179,0.0966959405646856,0.0345524004250111
WIM Raw Data - MLB,0.1346287982899402,0.25206339205907424,1.8243141355154175,0.07346414403978493,0.0340710981468201
WIM Raw Data - Euroleague,0.06167011803880263,0.10708669055562652,1.6889234425822144,0.18213124855024332,0.05935101922340055
WIM Raw Data - NBL,0.053722693177354786,0.06324630127117668,1.622819887602197,0.14971328071893636,0.10936359259906134
WIM Raw Data - NBA,0.036193818216942425,0.07059278392721322,2.6764956785856358,0.14955488762527266,0.03636848457095137
