Metric,Value
WIM,0.38850279714469654
WIM_TB,0.6023723205932151
Noll_Scully,1.5636495771111891
WIM_Z,-1.0180887672440213
WIM_TB_Z,-1.5418677693012988
NS_Z,-2.149197346615222
Points_Gap_1st_2nd,10.0
Points_Gap_1st_20th,64.0
Champion_Points,81.0
