Metric,Value
WIM,0.3091814336390573
WIM_TB,0.595271391605823
Noll_Scully,1.6933305705185362
WIM_Z,-1.7760559196169887
WIM_TB_Z,-1.1915655758230457
NS_Z,-1.0991697907193734
Points_Gap_1st_2nd,11.0
Points_Gap_1st_20th,57.0
Champion_Points,90.0
