Metric,Value
WIM,0.19579052120073442
WIM_TB,0.3713309542946411
Noll_Scully,1.2674051402269457
WIM_Z,-2.5728996145321013
WIM_TB_Z,-2.4018782856150995
NS_Z,-1.5859742988652714
Points_Gap_1st_2nd,17.0
Points_Gap_2nd_17th,21.0
Champion_Points,81.0
